degree,Fp,W,Fp_x,Fp_y,Mot_x,Mot_y,Mw_x,Mw_y,Mtotal_x,Mtotal_y,ecc_x,ecc_y,torsion,Tmax,Cmax,Vmax,T_anchor,C_anchor,V_anchor,equip_xo,equip_yo,anchor_xo,anchor_yo,Ix,Iy,Iz,Ixy
250.0,19425.000000000004,-1855.0,18253.52915876627,-6643.741284101129,425199.44218247227,1168225.8661610412,-7779.4042693186675,-36008.04068835883,417420.0379131536,1132217.8254726822,-19.411342689142227,-4.19374893224726,52413.22038436857,4706.539355431896,-4004.6751198062047,1480.5924098631567,2,8,0,88.44420496732069,-31.664216517996607,77.86429983357503,-48.470565391650965,17506.54411809543,29672.027310476013,47178.57142857144,-5104.026229909985
251.0,19425.000000000004,-1855.0,18366.698331016734,-6324.161400330269,404746.32962113724,1175468.693185071,-7779.4042693186675,-36008.04068835883,396966.92535181856,1139460.6524967123,-19.411342689142227,-4.19374893224726,45735.14264864748,4725.613263285104,-4042.9650403132155,1468.9178821390271,2,8,0,88.98335126270527,-30.115829692339684,78.69836873102624,-47.10426368211924,17332.121613345418,29846.449815226013,47178.571428571435,-4888.632374758477
252.0,19425.000000000004,-1855.0,18474.27282903336,-6002.655115733358,384169.9274069349,1182353.4610581351,-7779.4042693186675,-36008.04068835883,376390.5231376162,1146345.4203697764,-19.411342689142227,-4.19374893224726,39043.13354542968,4743.161324623881,-4080.02530467357,1457.146433681738,2,8,0,89.49539236729414,-28.55826929321996,79.5084653429937,-45.723613557560775,17165.32249921017,30013.24892936125,47178.57142857142,-4667.282474094429
253.0,19425.000000000004,-1855.0,18576.219884581966,-5679.320364239169,363476.5033113068,1188878.0726132458,-7779.4042693186675,-36008.04068835883,355697.09904198814,1152870.031924887,-19.411342689142227,-4.19374893224726,32339.23152551464,4759.178194138754,-4115.844623971739,1445.2902141238344,2,8,0,89.9801723084066,-26.992009768623365,80.29434290620188,-44.329035577378086,17006.349994716827,30172.221433854596,47178.57142857142,-4440.2462086754485
254.0,19425.000000000004,-1855.0,18672.50844360185,-5354.255636745204,342672.3607516931,1195040.5403905185,-7779.4042693186675,-36008.04068835883,334892.9564823744,1159032.4997021598,-19.411342689142227,-4.19374893224726,25625.47866239937,4773.658992936113,-4150.412087296077,1433.361744868056,2,8,0,90.43754341737645,-25.417528216373693,81.05576203473213,-42.92095454353344,16855.39778337425,30323.17364519718,47178.571428571435,-4207.800187218681
255.0,19425.000000000004,-1855.0,18763.109175665155,-5027.559951116464,321763.8368714537,1200838.98724257,-7779.4042693186675,-36008.04068835883,313984.432602135,1164830.946554211,-19.411342689142227,-4.19374893224726,18903.92003024432,4786.599310024358,-4183.717165062384,1421.3739235241117,2,8,0,90.86736637453316,-23.835304238804266,81.79249079294175,-41.49979937115028,16712.64977719958,30465.921651371842,47178.57142857142,-3970.2276093957316
256.0,19425.000000000004,-1855.0,18847.994482911236,-4699.332822023548,300757.3006095071,1206271.646906319,-7779.4042693186675,-36008.04068835883,292977.8963401884,1170263.6062179604,-19.411342689142227,-4.19374893224726,12176.60308092166,4797.995203657557,-4215.749712221349,1409.3400277511269,2,8,0,91.26951025164026,-22.245819796665923,82.50430476611417,-40.066002957861095,16578.279892649683,30600.291535921737,47178.57142857142,-3727.8179207974135
257.0,19425.000000000004,-1855.0,18927.138508453198,-4369.674230629584,279659.15076029336,1211336.8645410046,-7779.4042693186675,-36008.04068835883,271879.7464909747,1175328.8238526457,-19.411342689142227,-4.19374893224726,5445.57702034316,4807.843202536107,-4246.499971348794,1397.273718374163,2,8,0,91.6438525517771,-20.64955906231742,83.19098712881771,-38.62000205194285,16452.451838730794,30726.119589840626,47178.57142857142,-3480.866460288932
258.0,19425.000000000004,-1855.0,19000.517144254176,-4038.6845941349848,258475.81402463902,1216033.0972322673,-7779.4042693186675,-36008.04068835883,250696.40975532035,1180025.0565439085,-19.411342689142227,-4.19374893224726,-1287.1078157482261,4816.140306864156,-4275.958575617909,1389.396909117342,2,8,9,91.99027924665278,-19.047008272241765,83.85232871095263,-37.162237119279226,16335.318917544282,30843.252511027145,47178.57142857143,-3229.674100184968
259.0,19425.000000000004,-1855.0,19068.108038470877,-3706.4647351893796,237213.7430521203,1220358.914462136,-7779.4042693186675,-36008.04068835883,229434.3387828016,1184350.8737737774,-19.411342689142227,-4.19374893224726,-8019.4005863307975,4822.883989263348,-4304.116551652462,1399.258094971407,2,8,9,92.30868481134003,-17.438655578933876,84.48812806146644,-35.6931522091904,16227.02383751168,30951.54759105975,47178.57142857143,-2974.546879683081
